brand,model,prices,year,fuel,kms
renault,espace.iv 3.0 dci180 privilege ba,1100,2006,Diesel,175549
citroen,xsara 1.6 5p,1100,2002,Essence,92721
chevrolet,matiz 0.8 ,1050,2005,Essence,133008
renault,scenic.ii 1.9 dci130 jade,1000,2007,Diesel,175904
opel,meriva 1.7 cdti enjoy,1000,2006,Diesel,181707
renault,espace.iv 2.0 emotion,900,2008,Essence,201281
citroen,c3 1.4 hdi70 pack clim 5p,900,2006,Diesel,199510
renault,laguna.ii 1.6 16v authentique,800,2003,Essence,203895
peugeot,206.sw 1.4 hdi x line clim,900,2005,Diesel,187870
renault,megane.ii.brk 1.5 dci105 confort authentique,650,2006,Diesel,237070
peugeot,307 2.0 hdi90 xr presence 5p,400,2002,Diesel,297758
peugeot,206.ph2 1.4 hdi x line clim 5p,550,2005,Diesel,225814
renault,scenic.ii 1.5 dci85 expression,400,2007,Diesel,253599
citroen,c3 1.4 hdi70 pack clim 5p,400,2006,Diesel,176534
renault,laguna.ii 1.9 dci120 expression,300,2003,Diesel,250982
peugeot,206 1.4 hdi xr presence 3p,400,2004,Diesel,254384
peugeot,206.ph2 1.4 hdi trendy 5p,100,2007,Diesel,222186
alfa romeo,mito 1.4 mpi multiair selective,1500,2010,Essence,150676
opel,zafira 1.9 cdti100 enjoy,1300,2008,Diesel,147595
citroen,c3 1.4 hdi70 pack clim 5p,650,2006,Diesel,222082
citroen,c5 1.6 hdi110,600,2006,Diesel,196355
renault,clio.iii 1.5 dci85 expression 5p,1150,2007,Diesel,219715
peugeot,308 1.6 e-hdi112 business pack 5p,1200,2013,Diesel,223127
citroen,c4 picasso 1.6 hdi110 exclusive,1400,2007,Diesel,185637
peugeot,206 1.6 roland garros ba 5p,400,2005,Essence,149491
chrysler,pt cruiser 2.2 crd olympia,700,2007,Diesel,231500
renault,scenic.ii 1.9 dci130 expression,1400,2007,Diesel,237705
renault,clio.ii ph2 1.4 16v 5p,50,2002,Essence,72761
renault,scenic.ii 1.5 dci105 confort expression,200,2005,Diesel,142625
citroen,grand c4 picasso 2.0 hdi150 exclusive eat6,8400,2015,Diesel,119666
